Subsidiaries,Month,Budget version 1,Budget version 2
GO Americas,07-Jan,42265205.04,44378465.29
GO Americas,07-Feb,42265205.04,44378465.29
GO Americas,07-Mar,42265205.04,44378465.29
GO Americas,07-Apr,42265205.04,44378465.29
GO Americas,07-May,42265205.04,44378465.29
GO Americas,07-Jun,42265205.04,44378465.29
GO Americas,07-Jul,42265205.04,44378465.29
GO Americas,07-Aug,42265205.04,44378465.29
GO Americas,07-Sep,42265205.04,44378465.29
GO Americas,07-Oct,42265205.04,44378465.29
GO Americas,07-Nov,42265205.04,44378465.29
GO Americas,07-Dec,42265205.07,44378465.32
GO Central Europe,07-Jan,28173722.14,29582408.25
GO Central Europe,07-Feb,28173722.14,29582408.25
GO Central Europe,07-Mar,28173722.14,29582408.25
GO Central Europe,07-Apr,28173722.14,29582408.25
GO Central Europe,07-May,28173722.14,29582408.25
GO Central Europe,07-Jun,28173722.14,29582408.25
GO Central Europe,07-Jul,28173722.14,29582408.25
GO Central Europe,07-Aug,28173722.14,29582408.25
GO Central Europe,07-Sep,28173722.14,29582408.25
GO Central Europe,07-Oct,28173722.14,29582408.25
GO Central Europe,07-Nov,28173722.14,29582408.25
GO Central Europe,07-Dec,28173722.1,29582408.21
GO Asia Pacific,07-Jan,35217152.67,36978010.3
GO Asia Pacific,07-Feb,35217152.67,36978010.3
GO Asia Pacific,07-Mar,35217152.67,36978010.3
GO Asia Pacific,07-Apr,35217152.67,36978010.3
GO Asia Pacific,07-May,35217152.67,36978010.3
GO Asia Pacific,07-Jun,35217152.67,36978010.3
GO Asia Pacific,07-Jul,35217152.67,36978010.3
GO Asia Pacific,07-Aug,35217152.67,36978010.3
GO Asia Pacific,07-Sep,35217152.67,36978010.3
GO Asia Pacific,07-Oct,35217152.67,36978010.3
GO Asia Pacific,07-Nov,35217152.67,36978010.3
GO Asia Pacific,07-Dec,35217152.68,36978010.31
GO Northern Europe,07-Jan,21590897.99,22670442.89
GO Northern Europe,07-Feb,21590897.99,22670442.89
GO Northern Europe,07-Mar,21590897.99,22670442.89
GO Northern Europe,07-Apr,21590897.99,22670442.89
GO Northern Europe,07-May,21590897.99,22670442.89
GO Northern Europe,07-Jun,21590897.99,22670442.89
GO Northern Europe,07-Jul,21590897.99,22670442.89
GO Northern Europe,07-Aug,21590897.99,22670442.89
GO Northern Europe,07-Sep,21590897.99,22670442.89
GO Northern Europe,07-Oct,21590897.99,22670442.89
GO Northern Europe,07-Nov,21590897.99,22670442.89
GO Northern Europe,07-Dec,21590898.03,22670442.93
GO Southern Europe,07-Jan,29934579.77,31431308.76
GO Southern Europe,07-Feb,29934579.77,31431308.76
GO Southern Europe,07-Mar,29934579.77,31431308.76
GO Southern Europe,07-Apr,29934579.77,31431308.76
GO Southern Europe,07-May,29934579.77,31431308.76
GO Southern Europe,07-Jun,29934579.77,31431308.76
GO Southern Europe,07-Jul,29934579.77,31431308.76
GO Southern Europe,07-Aug,29934579.77,31431308.76
GO Southern Europe,07-Sep,29934579.77,31431308.76
GO Southern Europe,07-Oct,29934579.77,31431308.76
GO Southern Europe,07-Nov,29934579.77,31431308.76
GO Southern Europe,07-Dec,29934579.77,31431308.76
GO Accessories GmbH,07-Jan,28164900.17,29573145.18
GO Accessories GmbH,07-Feb,28165665.89,29573949.18
GO Accessories GmbH,07-Mar,28165401.91,29573672.01
GO Accessories GmbH,07-Apr,28169896.07,29578390.87
GO Accessories GmbH,07-May,28168135.88,29576542.67
GO Accessories GmbH,07-Jun,28169599.53,29578079.51
GO Accessories GmbH,07-Jul,28170441.5,29578963.58
GO Accessories GmbH,07-Aug,28171078.59,29579632.52
GO Accessories GmbH,07-Sep,28169656.78,29578139.62
GO Accessories GmbH,07-Oct,28170221.84,29578732.93
GO Accessories GmbH,07-Nov,28171810.01,29580400.51
GO Accessories GmbH,07-Dec,28172395.4,29581015.17
